"","X.1","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","term","estimate","std.error","conf.low","conf.high"
"109",13,13,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2017",21.8685188750393,3185.08932620682,-6220.79184803328,6264.52888578336
"110",14,14,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2019",21.7548764140295,3259.5274152981,-6366.80146419118,6410.31121701924
"111",15,15,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2021",22.0627579112759,3660.39938302548,-7152.1882018513,7196.31371767386
"112",16,16,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","08_3","factor(year)2023",21.7985613626803,3119.5821048442,-6092.47001094761,6136.06713367297
"113",17,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)1990",22.8701543250012,4103.35012248979,-8019.548301713,8065.288610363
"114",18,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)1993",22.2063341754472,3660.46860255033,-7152.18029336286,7196.59296171376
"115",19,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)1996",22.1349675094706,3414.17075658712,-6669.51675247115,6713.78668749009
"116",20,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)1999",21.0755959798875,2038.1037178723,-3973.534287807,4015.68547976677
"117",21,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2001",20.7042996939512,2141.52032103405,-4176.59840169345,4218.00700108135
"118",22,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2003",21.1092117578297,2055.6766011558,-4007.94289036925,4050.16131388491
"119",23,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2005",21.8171821986536,2594.04127037145,-5062.41028213991,5106.04464653722
"120",24,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2007",21.0869765613272,2003.83390227226,-3906.35530289265,3948.52925601531
"121",25,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2009",22.4883750261518,3552.70768596695,-6940.6907370677,6985.66748712001
"122",26,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2011",22.9086067802848,4754.84142265151,-9296.40933381586,9342.22654737643
"123",27,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2013",22.5707251716482,4088.80484637171,-7991.33951352974,8036.48096387303
"124",28,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2015",23.1431665648617,4314.94376204773,-8433.99120236445,8480.27753549417
"125",29,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2017",21.786304130714,2932.37908859093,-5725.5710985259,5769.14370678733
"126",30,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2019",21.9325910500672,3044.00308408049,-5944.20382257654,5988.06900467667
"127",31,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2021",22.0826738742335,3553.15590217275,-6941.97492584029,6986.14027358875
"128",32,NA,"GOA","Pacific ocean perch",30060,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","pacific_ocean_perch","1_1","factor(year)2023",21.8878129129112,3327.0219093149,-6498.95530511997,6542.7309309458
"129",1,1,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)1990",23.0582260463644,4232.88211552084,-8273.23827117819,8319.35472327092
"130",2,2,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)1993",23.1733274050028,4356.01278292213,-8514.45484331846,8560.80149812846
"131",3,3,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)1996",23.2220065093601,NA,NA,NA
"132",4,4,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)1999",23.1056508639437,3293.62719416214,-6432.28502819556,6478.49632992345
"133",5,5,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2001",22.6596121392606,1056.45003180561,-2047.94440166593,2093.26362594445
"134",6,6,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2003",23.0329763013205,3129.86452107282,-6111.38876149111,6157.45471409375
"135",7,7,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2005",23.0312570586663,4753.573112142,-9293.80084061764,9339.86335473497
"136",8,8,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2007",23.1086616793528,404.287064111122,-769.279423393882,815.496746752587
"137",9,9,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2009",23.1010982612716,3144.01746310663,-6139.0598961927,6185.26209271524
"138",10,10,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2011",22.986795414321,4643.13124822106,-9077.38322659146,9123.3568174201
"139",11,11,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2013",22.9174569547426,NA,NA,NA
"140",12,12,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2015",23.1486693344346,NA,NA,NA
"141",13,13,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2017",22.901108033017,4941.15373189031,-9661.58224854766,9707.3844646137
"142",14,14,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2019",22.9154332891118,NA,NA,NA
"143",15,15,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2021",22.8948812048196,2961.69343167776,-5781.91757813244,5827.70734054208
"144",16,16,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","08_3","factor(year)2023",22.9194750112632,4932.65438866863,-9644.90547496268,9690.74442498521
"145",17,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)1990",24.5131346445215,6744.87561378045,-13195.2001485676,13244.2264178567
"146",18,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)1993",23.9805643398543,5317.8576883938,-10398.8289798214,10446.7901085011
"147",19,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)1996",24.0610164990122,5579.94447048241,-10912.4291813799,10960.551214378
"148",20,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)1999",23.9592341629004,5647.48258156957,-11044.9032290307,11092.8216973565
"149",21,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2001",24.7953781484538,8838.81431885142,-17298.9623528372,17348.5531091342
"150",22,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2003",23.7156809248913,4777.94370596887,-9340.88190293392,9388.3132647837
"151",23,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2005",23.5328464613593,4876.13089038815,-9533.50808260264,9580.57377552536
"152",24,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2007",23.5763789703542,4575.8288791274,-8944.88342353764,8992.03618147835
"153",25,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2009",24.1547924615877,6193.46315113764,-12114.8099233441,12163.1195082673
"154",26,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2011",23.3752849869555,4649.34737631841,-9089.17812421293,9135.92869418684
"155",27,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2013",23.6543623511442,5298.78370569848,-10361.7708626856,10409.0795873879
"156",28,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2015",22.9961438309182,3304.44840825984,-6453.60372512908,6499.59601279092
"157",29,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2017",24.7114105141958,8626.47665712164,-16882.8721509197,16932.2949719481
"158",30,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2019",23.0809630099753,3945.14279447923,-7709.25682803701,7755.41875405696
"159",31,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2021",23.9391948298857,6222.81229624287,-12172.5487883591,12220.4271780189
"160",32,NA,"GOA","walleye pollock",21740,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","walleye_pollock","1_1","factor(year)2023",24.5390127803578,8626.70770955575,-16883.4974031029,16932.5754286637
