"","X.5","X.4","X.3","X.2","X.1","X","srvy","common_name","file_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","effort","year","est","lwr","upr","log_est","se","type","X.14","X.13","X.12","X.11","X.10","X.9","X.8","X.7","X.6","X.21","X.20","X.19","X.18","X.17","X.16","X.15"
"190",28,28,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","02_3",2021,3701878.12825076,1648143.82570352,8314748.66616799,15.124350851058,0.412859929528757,"index",28,28,28,28,28,28,28,28,28,NA,NA,NA,NA,NA,NA,NA
"191",29,29,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","02_3",2022,1927096.43636374,898848.211670157,4131621.58730378,14.471524990962,0.389117115967722,"index",29,29,29,29,29,29,29,29,29,NA,NA,NA,NA,NA,NA,NA
"192",30,30,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","02_3",2023,977614.600433108,343321.577974343,2783775.8192158,13.7928708022645,0.533911836379092,"index",30,30,30,30,30,30,30,30,30,NA,NA,NA,NA,NA,NA,NA
"193",31,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_1",2010,2094903.1931509,1090762.94526005,4023440.11386225,14.5550179017509,0.33298057911479,"index",31,31,31,31,31,31,31,31,31,NA,NA,NA,NA,NA,NA,NA
"194",32,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_1",2017,2652880.17164773,1443342.70297813,4876023.68488113,14.7911564649863,0.310558850482574,"index",32,32,32,32,32,32,32,32,32,NA,NA,NA,NA,NA,NA,NA
"195",33,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_1",2019,5429103.32973196,3184021.55064808,9257212.14383968,15.5072845456282,0.272264671950221,"index",33,33,33,33,33,33,33,33,33,NA,NA,NA,NA,NA,NA,NA
"196",34,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_1",2021,3902980.4542535,2104827.52995599,7237294.36710826,15.1772510382726,0.315060355656574,"index",34,34,34,34,34,34,34,34,34,NA,NA,NA,NA,NA,NA,NA
"197",35,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_1",2022,1512249.6822545,770165.158416853,2969361.93034203,14.2291089558547,0.344265863503999,"index",35,35,35,35,35,35,35,35,35,NA,NA,NA,NA,NA,NA,NA
"198",36,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_1",2023,1774995.01140062,872285.410355038,3611899.56073522,14.3893081704092,0.362474117494819,"index",36,36,36,36,36,36,36,36,36,NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_2",2010,1279983.6894758,653836.755682129,2505760.39215605,14.0623578932176,0.34273328912324,"index",37,37,37,37,37,37,37,37,37,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_2",2017,1757815.57527715,913383.70010098,3382932.71091364,14.3795824457385,0.334022010930249,"index",38,38,38,38,38,38,38,38,38,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_2",2019,5075503.33538567,2808579.65404394,9172157.20423648,15.4399362573605,0.301917183020255,"index",39,39,39,39,39,39,39,39,39,NA,NA,NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_2",2021,3703143.98175441,2001458.01210958,6851642.7857259,15.1246927416012,0.313937535317737,"index",40,40,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_2",2022,1375918.11792211,720536.03397977,2627419.83460534,14.1346317883807,0.330047433447186,"index",41,41,41,41,41,41,41,41,41,NA,NA,NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_2",2023,1793310.57898196,873117.777928742,3683309.30142976,14.3995739550893,0.367225226242868,"index",42,42,42,42,42,42,42,42,42,NA,NA,NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_3",2010,1716823.70225104,665129.143258226,4431445.61396348,14.3559864568275,0.48380988790371,"index",43,43,43,43,43,43,43,43,NA,NA,NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_3",2017,4054197.03220422,1606087.60412045,10233883.5900142,15.2152632067381,0.472432908982278,"index",44,44,44,44,44,44,44,44,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_3",2019,7032857.96884998,2537910.16732951,19488905.4178232,15.7661037201268,0.520036182603187,"index",45,45,45,45,45,45,45,45,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_3",2021,2535773.07630547,773644.319077527,8311500.43495809,14.7460091095835,0.60569561893497,"index",46,46,46,46,46,46,46,46,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_3",2022,2785098.04197916,992035.039491061,7819049.52411312,14.8397936343071,0.526683109862609,"index",47,47,47,47,47,47,47,47,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","04_3",2023,2857755.26374441,790568.045744947,10330249.4850566,14.8655470018055,0.655644695841813,"index",48,48,48,48,48,48,48,48,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_1",2010,1637808.74962763,972539.078576112,2758159.09041325,14.3088697781093,0.265925417470543,"index",49,49,49,49,49,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_1",2017,2811871.60086278,1728581.66080531,4574051.70899191,14.8493608697261,0.248243892538659,"index",50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_1",2019,7441385.39265748,4084373.70660776,13557578.3558862,15.8225675981651,0.306071256293799,"index",51,51,51,51,51,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_1",2021,3279661.86692082,1758743.35144342,6115833.75852242,15.0032508856928,0.317934810781385,"index",52,52,52,52,52,52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_1",2022,1919415.29845599,1016477.45942621,3624433.62986777,14.4675311655705,0.324331178262121,"index",53,53,53,53,53,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_1",2023,1952094.00574582,939568.156833592,4055768.57788686,14.4844132034768,0.373087244552663,"index",54,54,54,54,54,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_2",2010,2411605.18447462,1369747.01513794,4245922.4232726,14.6958031354021,0.288610668152478,"index",55,55,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_2",2017,3988347.46548822,2323616.50949788,6845757.65426271,15.1988875340238,0.275643924108956,"index",56,56,56,56,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_2",2019,9481059.96584525,4890590.41174265,18380295.732826,16.064806678724,0.33775267871514,"index",57,57,57,57,57,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_2",2021,2911512.55743816,1349218.02529337,6282828.43336376,14.8841832832976,0.392429425896594,"index",58,58,58,58,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_2",2022,2401195.18470593,1016710.61546733,5670972.86812996,14.691477164988,0.438474423232811,"index",59,59,59,59,59,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_2",2023,2500187.59682537,880157.739885672,7102065.61397892,14.7318763257533,0.532673005079317,"index",60,60,60,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_3",2010,1795182.89788469,1133642.59281115,2842766.89786878,14.4006174676858,0.234530293213215,"index",61,61,61,61,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_3",2017,2708083.4376282,1614836.74903298,4541459.63023684,14.8117517240715,0.263784081141347,"index",62,62,62,62,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_3",2019,7336668.60808075,4031965.21155243,13349992.730734,15.8083954294525,0.305429576035836,"index",63,63,63,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_3",2021,3600394.51601519,1858473.43938834,6974993.77511609,15.096553985204,0.337398040590008,"index",64,64,64,64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_3",2022,1513393.21263222,745463.193098423,3072397.18505977,14.2298648483853,0.361284092005773,"index",65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","06_3",2023,1938512.53703216,839623.046112315,4475616.61584998,14.4774315034605,0.426907430233225,"index",66,66,66,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_1",2010,1866312.04321846,1185016.63673303,2939301.04835055,14.4394748721421,0.231742778864755,"index",67,67,67,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_1",2017,3029525.49374932,1850278.03262539,4960348.96131487,14.9239165624991,0.251570994528632,"index",68,68,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_1",2019,8294606.17371553,4640732.40491067,14825352.029399,15.9311160029287,0.296297916633908,"index",69,69,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_1",2021,3392962.50827084,1757587.31675133,6549998.66738362,15.0372139939767,0.335598722920501,"index",70,70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_1",2022,1972220.33918608,949615.337091607,4096030.16544797,14.4946705417701,0.372893723701284,"index",71,71,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_1",2023,2049424.03731782,901391.323338045,4659617.6111193,14.5330693542327,0.419076369403399,"index",72,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_2",2010,1758610.59492429,1135202.46537929,2724369.72161319,14.3800346205446,0.223327085300508,"index",73,73,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_2",2017,3125481.79874653,1964931.64835247,4971489.20293818,14.9550990048677,0.236805875210793,"index",74,74,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_2",2019,8853212.47155318,4987971.12685122,15713677.7806378,15.9962909422547,0.292735555110857,"index",75,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_2",2021,3186981.63457314,1684544.44733504,6029435.40918416,14.9745848307764,0.325301438319691,"index",76,76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_2",2022,1964822.1848437,991315.194290991,3894347.87269161,14.4909123080172,0.349049520230234,"index",77,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_2",2023,2047200.97797469,905299.034153835,4629444.73163807,14.5319840415409,0.416315532016829,"index",78,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2010,1877594.17080029,1202271.46785196,2932249.46652175,14.4455018189127,0.227442242333296,"index",79,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2017,2789066.45303564,1665526.54726584,4670529.98477795,14.8412174931582,0.263048515798713,"index",80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2019,7117857.59405535,3984794.58016487,12714305.7716052,15.7781173383974,0.295985549918432,"index",81,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2021,4070823.66182462,2099795.78925575,7892008.05643333,15.2193559108566,0.337763990218574,"index",82,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2022,1749827.89652104,858744.049839674,3565553.28449135,14.3750279962184,0.363170858342507,"index",83,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2023,1988136.27302623,904810.31963056,4368524.26897222,14.5027082116493,0.401654116459582,"index",84,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2010,1756800.13884148,1137340.20447074,2713653.06150385,14.3790046093282,0.22184166260452,"index",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2017,3351909.69236192,2053475.29522679,5471358.04938375,15.0250407988017,0.250002867873718,"index",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2019,7652470.17086336,4146663.96725079,14122267.9673218,15.8505390518344,0.312620206822699,"index",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2021,4104150.70376926,2062589.72104343,8166458.32537582,15.2275093863499,0.351045475539462,"index",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2022,1693980.10457686,766879.41392567,3741877.20076203,14.3425914094834,0.404347511267326,"index",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,NA,"NBS","northern rock sole","northern_rock_sole",10261,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2023,2221702.28718695,901166.074137949,5477304.56632365,14.6137842560407,0.460385711949466,"index",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",1,1,1,1,1,1,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2010,2694649.78330901,1668345.39066884,4352298.68784922,14.8067788033462,0.244614644920318,"index",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
"254",2,2,2,2,2,2,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2017,11236013.4689149,7209500.79994143,17511337.078243,16.2346346659342,0.226394158131892,"index",2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
"255",3,3,3,3,3,3,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2019,26233183.5061577,15183554.0114883,45324033.9084676,17.082535713375,0.278990986852508,"index",3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA
"256",4,4,4,4,4,4,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2021,13215887.0474055,7944704.17283926,21984414.6050011,16.3969302280512,0.259654824878008,"index",4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA
"257",5,5,5,5,5,5,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2022,8658510.25394801,5157327.45826395,14536559.9575403,15.9740532396374,0.264353924299593,"index",5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA
"258",6,6,6,6,6,6,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","08_3",2023,6573760.44926769,3666683.00610321,11785672.8744824,15.6985965934289,0.29786189937122,"index",6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA
"259",7,7,7,7,7,NA,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2010,2635737.14219969,1756589.87648494,3954884.61807183,14.7846734511952,0.207038770649845,"index",7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA
"260",8,8,8,8,8,NA,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2017,15509761.3343326,11246458.8733466,21389194.5328725,16.556980147177,0.163990909761958,"index",8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA
"261",9,9,9,9,9,NA,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2019,22041729.1736109,15666907.1267505,31010449.0332535,16.9084479953244,0.174180127090497,"index",9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA
"262",10,10,10,10,10,NA,"NBS","Pacific cod","pacific_cod",21720,NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma",TRUE,"iid, iid","1_1",2021,12465466.7135896,8668475.35110923,17925627.5289204,16.3384727161634,0.185344852826929,"index",10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA
